,quality,alcohol,pH
0,5,9.4,3.51
1,5,9.8,3.2
2,5,9.8,3.26
3,6,9.8,3.16
4,5,9.4,3.51
5,5,9.4,3.51
6,5,9.4,3.3
7,7,10.0,3.39
8,7,9.5,3.36
9,5,10.5,3.35
10,5,9.2,3.28
11,5,10.5,3.35
12,5,9.9,3.58
13,5,9.1,3.26
14,5,9.2,3.16
15,5,9.2,3.17
16,7,10.5,3.3
17,5,9.3,3.11
18,4,9.0,3.38
19,6,9.2,3.04
20,6,9.4,3.39
21,5,9.7,3.52
22,5,9.5,3.17
23,5,9.4,3.17
24,6,9.7,3.43
25,5,9.3,3.34
26,5,9.5,3.28
27,5,9.5,3.17
28,5,9.4,3.47
29,6,9.8,3.38
30,5,10.1,3.35
31,6,10.6,3.46
32,5,9.8,3.17
33,6,9.4,3.45
34,5,9.2,3.38
35,6,9.6,3.4
36,6,10.8,3.42
37,7,9.7,3.23
38,4,9.8,3.5
39,5,10.5,3.33
40,5,10.5,3.33
41,4,9.3,3.26
42,6,10.5,3.21
43,5,10.3,3.3
44,5,9.5,3.48
45,4,13.1,3.9
46,5,9.2,3.25
47,5,9.5,3.25
48,5,9.2,3.34
49,5,9.2,3.32
50,5,9.2,3.15
51,6,9.4,3.4
52,6,9.4,3.39
53,5,9.4,3.2
54,6,10.2,3.17
55,5,9.5,3.34
56,5,9.6,3.04
57,5,9.4,3.26
58,5,10.0,3.43
59,6,9.4,3.41
60,5,9.2,3.44
61,5,9.3,3.21
62,7,9.5,3.38
63,5,9.8,3.39
64,5,10.9,3.41
65,5,10.9,3.41
66,5,9.6,3.42
67,5,10.7,3.44
68,5,10.7,3.28
69,6,10.5,3.34
70,6,9.5,3.32
71,5,9.5,3.32
72,5,9.5,3.31
73,4,9.2,3.31
74,5,9.6,3.28
75,5,10.5,3.54
76,5,10.5,3.54
77,6,10.7,3.52
78,5,10.1,3.38
79,4,9.1,3.16
80,5,9.2,3.41
81,5,9.4,3.13
82,5,9.1,3.36
83,5,9.4,3.16
84,6,10.3,3.44
85,5,10.1,3.41
86,6,9.9,2.93
87,5,9.6,3.39
88,5,9.5,3.14
89,5,9.0,3.48
90,5,9.5,3.23
91,6,9.9,2.93
92,5,9.8,2.93
93,5,9.6,3.39
94,4,10.5,3.75
95,6,12.9,3.85
96,5,10.7,3.45
97,5,9.2,3.25
98,5,9.8,3.39
99,6,9.0,3.3
100,6,10.2,3.4
101,6,10.4,3.31
102,6,9.0,3.3
103,5,9.2,3.29
104,5,9.4,3.33
105,5,9.2,3.29
106,5,9.3,3.08
107,5,9.3,3.46
108,6,9.6,3.37
109,5,9.3,3.21
110,5,9.5,3.19
111,5,9.8,3.15
112,5,9.8,3.15
113,6,9.7,3.32
114,5,9.5,3.19
115,6,10.5,3.07
116,6,10.0,3.39
117,6,9.4,3.37
118,6,10.9,3.21
119,6,9.2,3.34
120,5,9.0,3.3
121,6,10.9,3.21
122,5,9.2,3.49
123,5,9.5,3.44
124,5,9.5,3.39
125,5,9.4,3.16
126,5,10.9,3.53
127,5,10.9,3.54
128,7,10.5,3.42
129,5,9.4,3.42
130,5,9.4,3.24
131,5,13.0,3.63
132,5,13.0,3.63
133,6,9.8,3.4
134,6,9.9,3.22
135,5,9.6,3.19
136,5,9.5,3.23
137,5,9.2,3.48
138,5,9.5,3.33
139,5,9.5,3.32
140,5,9.6,3.19
141,5,9.5,3.23
142,6,14.0,3.68
143,5,9.4,3.34
144,6,14.0,3.68
145,5,9.4,3.17
146,5,10.0,3.54
147,5,9.3,3.11
148,6,10.2,3.42
149,6,10.5,3.53
150,6,10.3,3.33
151,4,9.4,2.74
152,5,10.1,3.35
153,5,10.1,3.35
154,5,10.5,3.42
155,5,10.5,3.42
156,5,10.5,3.42
157,5,10.5,3.42
158,5,9.3,3.48
159,6,9.3,3.59
160,5,9.6,3.2
161,4,9.2,3.17
162,6,10.0,3.33
163,5,9.4,3.37
164,5,9.4,3.37
165,5,9.5,3.19
166,5,10.2,3.34
167,4,9.0,3.37
168,6,10.4,3.47
169,5,9.5,3.0
170,4,9.1,3.36
171,6,9.2,3.29
172,6,9.2,3.29
173,6,11.5,3.42
174,5,9.5,3.33
175,5,9.5,3.35
176,5,9.5,3.33
177,6,10.5,3.58
178,5,9.6,3.48
179,5,9.5,3.19
180,5,9.5,3.19
181,5,9.3,3.12
182,5,9.3,3.44
183,5,9.3,3.54
184,6,9.3,3.52
185,5,9.7,3.26
186,5,9.2,3.34
187,5,9.7,3.39
188,5,9.5,3.2
189,5,9.5,3.2
190,5,9.4,3.23
191,6,9.8,3.57
192,5,9.5,3.28
193,5,9.7,3.28
194,5,9.7,3.28
195,5,9.4,3.25
196,5,10.2,3.46
197,6,10.1,3.11
198,7,13.0,3.57
199,4,11.4,3.51
200,7,10.3,3.22
201,5,9.3,3.04
202,5,9.5,3.36
203,5,9.2,3.34
204,6,9.2,3.34
205,7,10.8,3.2
206,7,10.8,3.2
207,5,9.3,3.29
208,5,9.4,3.22
209,7,10.5,3.31
210,6,12.4,3.3
211,6,10.0,3.35
212,6,10.2,3.21
213,5,10.1,3.3
214,6,9.8,3.24
215,5,10.5,3.34
216,5,11.0,3.14
217,5,9.1,3.36
218,5,9.7,3.39
219,5,9.5,3.3
220,6,9.4,3.34
221,5,9.4,3.15
222,5,9.5,3.42
223,6,10.0,3.28
224,4,10.4,3.31
225,6,10.5,3.37
226,6,9.5,3.04
227,5,9.8,3.39
228,6,10.5,3.37
229,5,11.0,3.46
230,7,12.2,3.54
231,6,9.9,3.37
232,6,9.6,3.34
233,5,11.0,3.46
234,6,9.0,3.32
235,6,9.0,3.37
236,6,9.0,3.37
237,6,9.2,3.37
238,6,9.0,3.37
239,6,9.0,3.32
240,5,9.3,3.0
241,6,10.9,3.14
242,6,9.8,3.08
243,7,9.2,3.07
244,7,9.2,3.07
245,6,9.9,3.61
246,5,9.5,3.38
247,5,9.3,3.2
248,6,9.8,3.35
249,6,9.9,3.61
250,6,10.0,3.22
251,6,9.9,3.47
252,5,10.5,3.17
253,5,9.5,3.23
254,6,9.9,3.47
255,5,9.3,3.26
256,5,9.2,3.22
257,5,9.2,3.49
258,5,9.4,3.06
259,7,10.5,3.36
260,5,9.3,3.29
261,4,9.4,3.35
262,5,10.0,3.34
263,5,9.3,3.28
264,5,10.9,3.08
265,7,10.2,3.2
266,4,9.8,3.6
267,8,12.8,3.35
268,6,9.4,3.69
269,6,10.1,3.28
270,6,10.7,3.36
271,6,10.1,3.28
272,5,10.1,3.22
273,5,9.4,3.31
274,5,9.4,3.38
275,6,10.7,3.36
276,6,9.4,3.69
277,6,10.1,3.28
278,8,12.6,3.23
279,7,10.5,3.38
280,6,9.3,3.12
281,7,9.9,3.25
282,5,9.1,3.36
283,7,10.5,3.38
284,5,9.8,3.31
285,5,9.8,3.31
286,6,10.3,3.1
287,6,10.3,3.37
288,7,10.6,3.34
289,5,9.2,3.2
290,7,10.6,3.34
291,5,10.5,3.3
292,6,10.3,3.22
293,6,10.1,3.41
294,6,9.5,3.05
295,5,9.5,3.05
296,5,9.9,3.16
297,5,9.6,3.67
298,5,9.7,3.67
299,5,9.6,3.68
300,6,10.7,3.38
301,6,10.1,3.22
302,5,10.0,3.51
303,5,9.5,3.39
304,5,9.2,3.2
305,6,9.3,3.12
306,5,9.4,3.36
307,6,9.5,3.19
308,6,9.5,3.19
309,6,9.5,3.41
310,6,9.3,3.12
311,6,9.4,3.27
312,6,9.5,3.32
313,5,9.4,3.3
314,5,11.0,3.39
315,6,11.0,3.42
316,5,10.1,3.3
317,6,10.4,3.3
318,7,11.5,3.37
319,6,10.4,3.3
320,7,11.5,3.37
321,5,9.7,3.24
322,5,9.3,3.29
323,6,9.5,3.28
324,6,9.2,3.16
325,6,9.2,3.16
326,7,11.5,3.05
327,5,11.5,3.28
328,6,9.7,3.16
329,5,9.5,3.18
330,6,12.5,3.23
331,6,12.5,3.23
332,6,9.4,3.22
333,5,11.0,3.13
334,7,11.7,3.34
335,7,12.2,3.17
336,6,12.5,3.35
337,5,10.3,3.31
338,6,11.5,3.16
339,7,9.8,3.11
340,6,9.2,3.12
341,6,11.3,3.21
342,6,9.8,3.3
343,6,9.8,3.3
344,6,10.7,3.12
345,5,9.9,3.6
346,7,12.3,3.58
347,6,12.0,3.02
348,6,10.0,3.11
349,6,9.4,3.36
350,6,9.9,3.28
351,6,9.4,3.35
352,5,9.3,3.27
353,5,13.0,3.18
354,6,11.9,3.25
355,6,12.8,3.55
356,5,11.0,3.26
357,7,11.7,3.24
358,7,10.4,3.15
359,6,9.8,3.17
360,5,9.4,3.19
361,6,9.9,3.37
362,5,10.0,3.05
363,5,10.2,2.99
364,7,10.0,3.07
365,6,11.8,3.26
366,7,10.0,3.07
367,5,9.0,3.16
368,5,9.4,3.18
369,7,12.0,3.2
370,5,9.9,3.57
371,6,8.7,3.32
372,6,10.6,3.32
373,5,9.2,3.05
374,6,10.8,3.01
375,7,11.8,3.01
376,6,11.0,3.26
377,7,12.0,3.2
378,6,13.3,3.11
379,6,10.8,3.31
380,6,9.4,3.21
381,6,10.0,3.06
382,6,9.4,3.21
383,6,9.4,3.21
384,5,9.2,3.42
385,6,9.7,3.43
386,6,9.2,3.41
387,6,9.6,3.31
388,6,9.2,3.43
389,7,10.0,3.19
390,8,12.9,3.56
391,6,10.0,3.06
392,5,9.5,3.18
393,5,9.1,3.16
394,5,9.9,3.03
395,7,13.0,3.22
396,5,9.9,3.47
397,6,11.0,3.18
398,6,11.0,3.18
399,5,9.4,3.1
400,5,9.9,3.47
401,6,10.8,3.29
402,6,10.5,3.1
403,6,10.5,3.15
404,5,9.1,3.26
405,6,10.1,3.36
406,6,10.8,3.24
407,7,10.8,3.18
408,6,11.3,3.19
409,4,9.6,3.05
410,6,9.5,3.38
411,5,9.5,3.38
412,5,9.3,3.27
413,7,11.7,3.27
414,5,9.5,3.26
415,5,9.3,3.32
416,6,11.7,3.26
417,5,10.5,3.44
418,6,10.4,3.24
419,5,9.9,3.62
420,7,11.8,3.28
421,7,12.3,3.52
422,5,10.9,3.36
423,7,11.0,3.15
424,5,10.9,3.36
425,7,12.3,3.52
426,6,11.4,3.49
427,6,10.6,3.26
428,5,9.3,3.24
429,6,10.4,3.1
430,7,11.0,3.15
431,5,9.2,3.25
432,6,12.8,3.0
433,5,9.5,3.16
434,6,9.9,3.15
435,5,9.5,3.16
436,6,10.2,3.26
437,6,11.2,3.17
438,6,9.9,3.15
439,5,9.3,3.08
440,8,9.8,2.88
441,6,11.3,3.06
442,7,11.2,2.95
443,7,11.6,3.23
444,7,12.5,3.57
445,6,10.1,3.23
446,5,10.5,3.1
447,5,11.2,3.22
448,6,10.2,3.2
449,6,10.8,3.1
450,6,10.8,3.1
451,6,9.1,3.06
452,6,10.0,3.44
453,7,11.2,3.26
454,5,11.1,3.5
455,8,13.4,3.22
456,5,10.3,3.37
457,5,9.6,3.28
458,7,11.2,3.26
459,3,9.0,3.25
460,6,11.3,3.35
461,5,9.3,3.26
462,5,11.8,3.18
463,5,9.0,3.08
464,6,9.2,2.98
465,5,9.7,3.48
466,6,11.5,3.16
467,6,14.0,3.32
468,6,9.2,3.17
469,5,9.8,3.2
470,5,10.6,3.05
471,6,11.4,3.2
472,6,10.4,3.15
473,5,10.6,3.26
474,6,9.4,3.2
475,5,10.2,3.14
476,5,9.7,3.28
477,6,11.0,3.18
478,5,10.2,3.14
479,6,10.1,3.19
480,5,9.2,3.12
481,8,11.7,3.15
482,5,9.4,3.04
483,5,9.4,3.04
484,6,13.4,3.06
485,5,10.0,3.17
486,5,10.0,3.17
487,6,10.0,3.17
488,7,10.8,3.32
489,6,10.2,3.34
490,6,10.6,3.31
491,7,13.3,3.34
492,7,13.4,3.32
493,6,11.6,3.48
494,6,12.1,3.44
495,8,11.0,3.15
496,6,9.0,3.43
497,5,11.1,3.32
498,8,11.0,3.15
499,6,11.6,3.48
500,6,9.0,3.43
501,7,12.0,3.17
502,7,12.0,3.17
503,7,10.9,3.18
504,7,10.8,3.21
505,7,12.5,3.16
506,7,10.8,3.25
507,6,9.5,3.17
508,6,10.2,3.18
509,7,11.4,3.04
510,5,9.5,3.02
511,6,10.2,3.18
512,6,9.7,3.03
513,7,11.8,3.09
514,7,11.8,3.09
515,5,9.3,3.31
516,6,11.9,3.25
517,3,8.4,3.16
518,6,11.7,3.22
519,5,11.0,3.36
520,6,10.0,3.42
521,5,9.1,3.48
522,5,9.8,3.38
523,5,9.4,3.22
524,5,9.5,3.23
525,5,9.9,3.24
526,5,11.0,3.36
527,6,11.4,3.39
528,6,8.7,3.34
529,5,9.4,3.09
530,6,10.3,3.41
531,5,10.3,3.16
532,5,10.3,3.16
533,6,12.8,3.22
534,6,10.0,3.28
535,6,10.3,3.41
536,5,9.4,3.09
537,6,10.7,3.37
538,7,12.0,3.2
539,5,11.2,3.22
540,5,9.6,3.26
541,6,11.0,3.21
542,5,9.9,3.12
543,6,11.0,3.06
544,6,8.4,2.86
545,5,9.1,3.08
546,6,9.5,3.45
547,6,10.7,3.26
548,6,10.4,3.12
549,6,9.4,3.27
550,6,9.5,3.33
551,6,10.0,3.19
552,6,10.0,3.12
553,5,11.5,3.74
554,5,11.1,2.92
555,5,11.1,2.92
556,6,11.7,3.07
557,5,11.1,2.92
558,6,11.7,3.07
559,6,12.7,3.3
560,5,11.4,3.14
561,5,9.2,3.23
562,5,9.2,3.08
563,6,10.1,3.31
564,6,12.7,3.3
565,5,11.4,3.14
566,6,9.0,3.32
567,6,9.0,3.32
568,6,10.7,3.31
569,6,11.7,3.57
570,6,11.0,3.32
571,6,11.7,3.57
572,5,10.4,3.14
573,4,9.6,3.3
574,6,10.0,3.19
575,6,10.2,3.2
576,4,10.0,3.34
577,5,9.5,3.3
578,5,9.8,3.29
579,6,9.8,3.14
580,5,9.6,3.19
581,5,9.6,3.19
582,5,9.2,3.19
583,7,9.9,2.98
584,7,10.7,3.3
585,6,9.6,3.47
586,7,10.6,3.12
587,5,9.3,3.26
588,8,14.0,3.72
589,7,10.5,3.05
590,5,9.7,3.35
591,6,11.5,3.12
592,5,9.7,3.35
593,5,9.0,3.29
594,5,9.5,3.4
595,5,9.3,3.27
596,6,9.3,3.04
597,6,10.0,3.09
598,6,9.8,3.2
599,6,9.3,3.0
600,4,10.0,3.26
601,6,9.0,3.1
602,5,9.3,3.3
603,6,9.0,3.1
604,6,9.1,3.17
605,6,9.2,3.31
606,7,12.2,3.34
607,6,10.5,3.31
608,6,10.4,3.32
609,6,12.7,3.56
610,5,9.2,3.39
611,5,9.4,2.98
612,6,10.0,3.32
613,5,9.8,3.26
614,6,10.2,2.87
615,5,9.7,3.5
616,5,9.7,3.5
617,6,9.8,3.03
618,5,10.2,3.13
619,5,9.3,3.09
620,5,9.4,3.27
621,5,9.4,3.28
622,5,9.5,3.13
623,6,12.1,3.49
624,5,10.2,3.46
625,5,10.2,3.46
626,5,9.1,3.36
627,5,9.1,3.36
628,6,9.3,3.27
629,5,9.3,3.21
630,6,9.3,3.27
631,5,9.5,3.25
632,6,10.5,3.32
633,4,11.3,3.43
634,5,9.5,3.27
635,5,9.7,3.27
636,5,9.4,3.24
637,5,9.4,3.24
638,7,10.2,3.35
639,6,10.3,3.18
640,5,9.4,3.39
641,5,9.5,3.46
642,5,9.4,3.39
643,5,9.5,3.46
644,5,9.4,3.39
645,7,10.1,3.37
646,5,10.1,3.4
647,4,11.0,3.32
648,7,11.2,3.33
649,6,11.3,3.16
650,5,9.6,2.89
651,5,11.2,3.41
652,5,14.9,2.98
653,6,12.0,3.12
654,5,9.5,3.08
655,5,9.4,3.14
656,5,9.6,2.89
657,7,10.5,2.92
658,6,9.6,3.32
659,4,11.0,3.41
660,6,9.6,3.32
661,5,9.0,3.31
662,6,9.6,3.36
663,6,10.2,3.04
664,5,10.2,3.03
665,5,9.7,3.14
666,6,9.5,3.18
667,6,9.2,2.94
668,5,11.0,3.15
669,6,9.2,2.94
670,5,10.0,3.26
671,5,9.5,3.2
672,5,9.5,3.15
673,5,9.5,3.2
674,6,9.3,3.08
675,5,10.2,3.26
676,6,9.3,3.08
677,5,9.9,3.4
678,5,10.0,3.48
679,5,9.6,3.13
680,5,9.0,3.06
681,6,10.2,3.21
682,5,9.8,3.33
683,5,11.3,3.37
684,5,9.4,3.25
685,5,11.3,3.37
686,5,9.1,3.44
687,5,9.7,3.28
688,5,9.4,3.4
689,5,9.4,3.3
690,3,10.7,3.63
691,5,9.8,3.48
692,5,9.0,3.03
693,5,9.4,3.32
694,5,9.4,3.31
695,6,12.8,3.9
696,6,9.5,3.47
697,6,9.5,3.47
698,5,9.7,3.31
699,6,10.8,3.11
700,6,10.1,3.08
701,6,9.5,3.47
702,6,9.4,3.47
703,4,9.6,3.32
704,4,9.7,3.29
705,5,9.9,3.37
706,5,10.0,3.4
707,5,10.5,3.37
708,6,11.6,3.34
709,6,10.0,3.27
710,5,10.1,3.06
711,5,9.5,3.38
712,5,9.4,3.36
713,5,9.4,3.34
714,5,9.8,3.28
715,6,9.2,3.29
716,5,9.4,3.34
717,5,10.0,3.21
718,5,9.6,3.22
719,5,9.5,3.46
720,5,9.6,3.22
721,5,9.2,3.1
722,5,10.0,3.21
723,5,9.5,2.94
724,4,11.2,3.54
725,5,10.4,3.29
726,6,11.1,3.43
727,5,9.5,3.46
728,5,9.5,3.46
729,6,12.7,3.61
730,5,9.6,3.17
731,5,11.5,3.44
732,5,9.6,3.39
733,5,9.5,3.55
734,5,9.3,3.48
735,5,9.5,3.26
736,5,9.5,3.26
737,6,9.3,3.5
738,5,9.2,3.1
739,5,9.3,3.35
740,6,11.5,3.45
741,5,9.5,3.21
742,5,9.2,3.46
743,5,10.0,3.13
744,5,9.5,3.13
745,6,9.5,3.52
746,6,9.0,3.3
747,5,9.4,3.3
748,6,9.6,3.52
749,6,9.5,3.52
750,5,9.5,3.29
751,5,9.5,3.29
752,5,9.4,3.39
753,5,9.5,3.29
754,6,9.1,3.09
755,6,10.7,3.51
756,6,11.2,3.6
757,5,9.8,3.25
758,5,9.8,3.25
759,5,9.2,3.19
760,5,9.7,3.23
761,5,9.6,3.25
762,6,10.0,3.31
763,5,9.6,3.25
764,6,9.5,3.31
765,6,9.5,3.31
766,5,9.4,3.14
767,5,9.5,3.45
768,6,9.7,3.55
769,5,9.6,3.39
770,6,9.7,3.55
771,5,9.4,3.28
772,5,9.4,3.27
773,6,9.5,3.3
774,6,9.5,3.31
775,5,10.0,3.43
776,6,10.3,3.4
777,6,10.3,3.4
778,5,10.5,3.36
779,5,9.8,3.5
780,6,9.4,3.31
781,5,9.8,3.66
782,5,10.0,3.36
783,5,9.8,3.66
784,5,9.8,3.55
785,5,9.5,3.21
786,5,9.5,3.21
787,6,10.1,3.18
788,6,10.1,3.18
789,5,9.3,3.09
790,6,9.7,3.33
791,5,9.6,3.23
792,6,9.7,3.48
793,5,10.8,3.38
794,6,12.5,3.17
795,5,10.2,2.99
796,5,9.6,3.1
797,7,10.8,3.24
798,6,10.7,3.29
799,6,10.7,3.29
800,5,9.4,3.25
801,5,10.0,3.23
802,7,12.9,3.56
803,6,9.6,3.24
804,6,9.9,3.26
805,7,12.8,3.33
806,7,12.5,3.27
807,7,12.8,3.33
808,5,9.2,3.26
809,6,10.3,3.22
810,5,10.5,3.3
811,6,10.9,3.09
812,5,10.8,3.24
813,4,11.4,3.44
814,6,11.3,3.21
815,5,10.8,3.24
816,6,10.5,3.23
817,6,11.9,3.28
818,5,9.4,3.29
819,5,9.6,3.28
820,5,9.7,3.34
821,7,14.0,3.71
822,5,9.8,3.61
823,5,9.8,3.61
824,5,10.3,3.24
825,5,10.7,3.36
826,7,11.0,3.4
827,5,10.7,3.36
828,8,12.7,3.46
829,6,11.1,3.56
830,4,10.9,3.38
